gene	t-test	articles	component name
PCDHB17	<=0.00	14672974, 10835267, 15744052, 11322959, 9182820, 10380929, 10817752, 10716726, 11230163	homophilic cell adhesion
HIST1H2BJ	>0.00	12757711, 12408966, 2917990, 12686141, 14574404, 9439656, 16627869, 11859126, 16307923, 16916647, 14657027, 16713563, 12860195, 16319397, 9566873, 11080476, 12477932, 11799066, 10384058, 11689053, 16283522, 10064132, 8620898, 15019208, 11709551, 19084217, 6647026	nucleosome assembly
TAF1C	>0.00	10913176, 15723054, 14702039, 9582279, 15970593, 11698641, 16344560, 12477932, 15226435, 11250901, 11250903, 12646563, 12393749, 7801123, 16055704, 10894955, 15489334	transcription regulator activity
WDR67	>0.00	14702039, 12477932, 15489334	nucleic acid binding
PSMD5	<=0.00	10625621, 14564014, 12665801, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 1317798, 14528301, 14528300, 12809610, 12791267, 12920286, 15642098, 12750511, 14557625, 12914693, 7584044, 12970355, 18029348, 14527406, 10893419, 12477932, 9811770, 14614829, 8811196, 12859895, 12840737, 12419264, 7559544, 14550573, 16189514, 14702039, 12808466, 12808465, 15489334, 8125911, 12830140	cellular process
PSMD7	>0.00	15489334, 17353931, 14564014, 12368243, 14743216, 15221960, 12719574, 12830140, 15029244, 12167863, 9079628, 16396496, 9846577, 11285280, 17028202, 14528301, 14528300, 12809610, 12791267, 12920286, 15642098, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 16305752, 12477932, 9811770, 15383276, 17559875, 14614829, 12237292, 12859895, 12840737, 9520381, 12419264, 7755639, 16842755, 14550573, 11734547, 12140684, 14702039, 12808466, 12808465, 12944474, 6188845, 2209467, 8811196	cellular process
PSMD6	>0.00	12914693, 17353931, 14564014, 14743216, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 14528301, 14528300, 10723133, 12809610, 12791267, 12920286, 12859895, 12750511, 14557625, 7788527, 12970355, 14527406, 10893419, 12477932, 9811770, 14614829, 12840737, 12419264, 14550573, 14702039, 12692129, 12808466, 12808465, 15489334, 12830140	cellular process
PSMD1	>0.00	16964243, 15489334, 15815621, 17353931, 14564014, 14743216, 15029244, 12719574, 8816993, 12167863, 9079628, 9846577, 11285280, 16097034, 14528301, 10671488, 16501559, 11361004, 12809610, 12791267, 12920286, 12859895, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 12477932, 9811770, 14614829, 8811196, 15642098, 12840737, 16737963, 12419264, 14550573, 15302935, 12808466, 12808465, 14528300, 15231748, 18534977, 12830140	cellular process
PSMD2	<=0.00	10625621, 17353931, 14564014, 12719574, 15029244, 12167863, 8774743, 9079628, 9846577, 11285280, 18544348, 18337449, 14528301, 14528300, 11278995, 12809610, 12791267, 12920286, 15642098, 12750511, 9126987, 12914693, 12970355, 14527406, 10893419, 16305752, 12477932, 9811770, 14614829, 8811196, 12859895, 12840737, 14557625, 16169070, 12419264, 7601280, 17081983, 14550573, 16189514, 11734547, 7639698, 12140684, 14702039, 12692129, 12808466, 12808465, 15489334, 12830140	cellular process
TMEM41B	>0.00	15642098, 7584026, 8889549, 7584028, 12477932	acid-amino acid ligase activity
SLC35F2	>0.00	14702039, 16344560, 17581869, 12477932, 9119394	nucleic acid binding
IER2	>0.00	2061303, 12477932, 15489334	nucleic acid binding
ZNF266	<=0.00	14702039, 7865130, 16628192, 12477932, 15489334	nucleic acid binding
KIAA0261	>0.00	12477932	nucleic acid binding
LOC91316	>0.00	14702039, 8678981, 12477932, 2511029	nucleic acid binding
KPNA3	>0.00	9303297, 8041786, 8551560, 9557700, 10525473, 9395085, 8552640, 11035935, 8529100, 17981117, 9275210, 7585960, 10100610, 9548947, 14759373, 16644122, 8041734, 15635413, 9603322, 11389849, 7859280, 9918876, 7494303, 16713569, 1631159, 9463369, 12740372, 8105392, 9282826, 8125298, 15489334, 10366569, 10860744, 10523667, 15037073, 9562972, 7745752, 14743216, 17353931, 12477932, 9008157, 8659115, 9373149, 8876228, 12414950, 17081983, 10964507, 15057270, 9366553, 11278458, 9154134, 10888652, 16189514, 9593140, 10744690, 9435235, 15882913, 2064827, 11904219, 16344560, 12368302	NLS-bearing substrate import into nucleus
POLR2L	<=0.00	12114499, 9311822, 10931842, 9201987, 7638159, 12089333, 14743216, 12379213, 10704353, 12676794, 12049628, 8676484, 10567706, 9790902, 12634356, 9184228, 1939271, 12226669, 10438593, 2449431, 9765201, 15231747, 9334327, 9315662, 7651387, 10725406, 9512541, 1403646, 2190099, 8934526, 16838299, 10329125, 11112772, 9491887, 12221105, 9651670, 10373521, 10359081, 10866664, 8800208, 8946909, 15489334, 1559613, 9696809, 11547919, 9874563, 8637904, 11080476, 10617616, 10698937, 8876177, 9409616, 10474687, 11809800, 10757782, 10069959, 12126615, 10958691, 17168834, 10364292, 8889548, 8910388, 10393184, 10536359, 12477932, 8524256, 14569024, 8786124, 15175163, 16189514, 10784442, 12642036, 12887902, 9054383, 10545121, 12052871, 12775419, 9570510, 12391170, 9121429, 7853496, 9405375, 8849451, 10066804	RNA polymerase activity
SPHAR	>0.00	7799938, 12477932, 16710414	nucleic acid binding
KIAA0114	>0.00	7788527, 15489334, 11752456, 12477932	nucleic acid binding
RFC3	>0.00	17932292, 8302859, 15489334, 10913172, 1346062, 15470261, 15642098, 10660302, 11907025, 12171929, 11914276, 15901673, 8692848, 11572977, 11805826, 12604797, 13678589, 17200106, 12390024, 7651383, 9092549, 15635413, 12930902, 10051561, 12192049, 15941397, 15964801, 17456004, 18467557, 17085511, 12665596, 11432854, 14605214, 10884395, 9822671, 8995429, 9228079, 11389843, 15710684, 8125298, 10072354, 14530260, 14702039, 16344560, 16793392, 9121429, 18613951, 12477932, 7774928, 9488738, 9373149, 18719252, 19237606, 11805837, 15123810, 8441605, 16155567, 11287619, 11486023, 15998802, 11283351, 8849441, 17308348, 9111189, 16429126, 12766176, 17314980, 18923393, 15450959, 15701785, 9169873, 10581271, 15738400, 15014082, 8063832, 16554755, 12912927	protein-DNA loading ATPase activity
RFC2	>0.00	18245774, 1346062, 8641269, 10783165, 15489334, 10913172, 17932292, 10660302, 11907025, 1313560, 15901673, 8093561, 12036885, 12604797, 8692848, 11805826, 15137946, 13678589, 17200106, 8651315, 12390024, 7651383, 12766176, 15635413, 12930902, 10051561, 16608854, 10581271, 15964801, 8202350, 18467557, 12791985, 12665596, 11432854, 14605214, 9822671, 8995429, 9671499, 11389843, 15710684, 9228079, 10072354, 14530260, 16413017, 12171929, 9121429, 15005706, 12477932, 19237606, 7774928, 9488738, 12853948, 18719252, 12454917, 11805837, 15123810, 16155567, 11287619, 15096576, 11486023, 9751713, 9710632, 11003705, 15655353, 8849441, 17308348, 9111189, 16429126, 18586732, 12912927, 12192049, 18923393, 15450959, 15014082, 16793392, 8068208, 16554755, 8812460, 11744727	protein-DNA loading ATPase activity
ATP6V0B	<=0.00	10224039, 9442887, 12890556, 15249206, 11836511, 10340843, 12477932, 9653649, 9210392, 17576770, 10440860, 14597263, 14580332, 10221984, 12788495, 15489334	energy coupled proton transport, down electrochemical gradient
PSME2	>0.00	7989312, 1429590, 9344661, 12719574, 15029244, 12167863, 9079628, 9840465, 12200048, 11285280, 15373739, 14528301, 14528300, 8663520, 12809610, 12519221, 9620878, 12920286, 12859895, 9846577, 8125298, 12750511, 12791267, 12914693, 12970355, 10799514, 14527406, 10893419, 7789512, 10199920, 9811770, 12477932, 9373149, 14614829, 8811196, 16305752, 12840737, 14557625, 12419264, 14681463, 14564014, 14550573, 16189514, 12140684, 12808466, 12808465, 15489334, 12830140	cellular process
PSME1	>0.00	7989312, 9394799, 14564014, 9344661, 9385652, 12719574, 15029244, 12167863, 9079628, 12200048, 11285280, 15373739, 14528301, 14528300, 9403698, 12755701, 8663520, 12809610, 12519221, 12920286, 12859895, 9846577, 12750511, 12791267, 12914693, 12970355, 12808465, 10799514, 14527406, 10893419, 7789512, 17671684, 10199920, 9811770, 1286667, 17939699, 14614829, 17719568, 8811196, 18029348, 12840737, 14557625, 14760793, 8889548, 16169070, 12419264, 15679890, 16130169, 14681463, 14550573, 16189514, 9590240, 8051173, 8269930, 12477932, 12808466, 9287111, 15489334, 12830140	cellular process
UBXD2	>0.00	12454917, 12477932	nucleic acid binding
MAN1A1	>0.00	2541446, 1736542, 8218172, 14574404, 9219526, 9592125, 10409699, 7588811, 9109416, 2355006, 8093218, 2649653, 17727818, 2829950, 10521544, 3099781, 2283726, 2187500, 12477932, 8892864, 3264072, 12560567, 15308636, 2406237, 2542563, 18217416, 8673525, 11530211, 8223597	catalytic activity
SNRPD3	>0.00	10747894, 11790298, 15489334, 11756452, 12065586, 15939020, 15642139, 10556282, 11713266, 12975319, 11747828, 15130578, 10531003, 15642098, 11748230, 15146077, 11991638, 11714716, 11780068, 12477932, 9417867, 10725331, 10025403, 18029348, 10851237, 11101529, 1701240, 7527560, 15461802, 12234937, 14559993, 15231747, 11226169, 10601333, 11389857, 15782174, 9323129	spliceosomal snRNP assembly
SNRPD2	>0.00	15489334, 11756452, 15057824, 12065586, 15939020, 10556282, 11713266, 12975319, 11135666, 12577067, 10942426, 10531003, 15130578, 11748230, 15146077, 11991638, 15782160, 11714716, 11780068, 12477932, 9417867, 10725331, 10025403, 16169070, 11101529, 1701240, 7527560, 3260384, 12234937, 15231747, 14667819, 11226169, 10601333, 15233990, 9323129, 16344560	spliceosomal snRNP assembly
KPNA4	<=0.00	9303297, 8041786, 10965137, 8551560, 9557700, 10525473, 9395085, 8552640, 11035935, 8529100, 17981117, 9275210, 7585960, 10100610, 9548947, 15037073, 8041734, 15635413, 9603322, 11389849, 7859280, 9918876, 7494303, 1631159, 9463369, 8105392, 9282826, 10888652, 15489334, 10366569, 10860744, 10523667, 14702039, 9562972, 7745752, 17353931, 12477932, 9008157, 8659115, 8876228, 15642098, 17661348, 12414950, 10964507, 17081983, 9366553, 12610148, 9593140, 16375861, 11278458, 9168958, 2064827, 11904219, 12368302	NLS-bearing substrate import into nucleus
GBP1	>0.00	15064350, 17932292, 8879236, 2191628, 12414522, 10383748, 15964273, 16720695, 12881412, 2583083, 16367971, 12488461, 18697840, 11598000, 16507594, 11025545, 18697200, 16143836, 16143837, 10213627, 1715024, 16511497, 15504415, 10071206, 8830800, 16005050, 16873363, 12766061, 16936281, 16622701, 7518790, 16894355, 15937107, 15710683, 15710684, 15701785, 15489334, 8282737, 18346789, 12000678, 8062839, 14741045, 12535521, 17535914, 12477932, 9482869, 10669795, 19150356, 8616232, 11094061, 10676968, 1741302, 11397834, 15998802, 18260761, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 2040309, 15450959, 12543931, 15849308, 15738400, 11782532	cellular biopolymer metabolic process
MAN2A2	<=0.00	2541446, 3099781, 2283726, 2355006, 8673525, 2187500, 1736542, 2649653, 3264072, 12560567, 11530211, 8218172, 9109416, 8892864, 2829950, 14759258, 2542563, 8093218, 16169070, 8524845	catalytic activity
MAN2A1	<=0.00	2541446, 3922977, 1736542, 8218172, 1757461, 16335952, 9109416, 2355006, 8093218, 2649653, 17466984, 2829950, 11158608, 3099781, 2283726, 2187500, 12477932, 8892864, 3264072, 12560567, 15004235, 18174230, 8314846, 2542563, 8524845, 8673525, 1885615, 11530211, 9230311	catalytic activity
HERC3	<=0.00	12477932, 7584028, 11163799, 15642098, 10702688, 7584026, 15676274	acid-amino acid ligase activity
KIAA0100	>0.00	7788527, 14702039, 16289875, 12477932, 15496914, 15489334	nucleic acid binding
SRP68	>0.00	17932292, 8349573, 10806107, 15068267, 9399828, 17200106, 11983892, 10368186, 8590479, 15995001, 15123810, 15137946, 16143839, 16452484, 16143837, 15659633, 8388879, 11497999, 16284312, 14702039, 15278455, 8374951, 15964273, 17923092, 11805055, 17085511, 10921896, 15642098, 15190002, 11784321, 15710684, 8914534, 15489334, 16672232, 12477932, 3614194, 15738400, 7925282, 18719252, 12215522, 1702390, 11641281, 14759368, 10618370, 8543042, 15998802, 15235119, 16554755, 7480339, 11445540, 8647391, 15514055, 11281415, 16429126, 2904436, 9169875, 15450959, 15635096, 8849441, 11752390, 15252450, 2779571, 15785851, 11805826	structural molecule activity
HLA-DOA	<=0.00	16806233, 1999352, 9088974, 15817706, 15847654, 8168144, 15265882, 12439622, 8890155, 11048639, 2370084, 16101837, 10323340, 12427289, 2499532, 7602119, 8084338, 15489334, 14574404, 9311912, 9079699, 12477932, 7512597, 18639552, 2991382, 2846691, 3000765, 1967269, 8376762, 15489916, 10729169, 3489470, 7541827, 2543930, 17652306, 11118314, 1978941, 11827988, 1869305, 10661406	MHC class II receptor activity
HLA-DOB	>0.00	9088974, 15847654, 8168144, 8568858, 15265882, 12439622, 3036827, 8890155, 11823510, 11048639, 17652306, 10661406, 12427289, 2499532, 7602119, 8084338, 9759843, 15489334, 8458375, 15730525, 9311912, 9079699, 12477932, 7512597, 2998758, 12445321, 2846691, 1967269, 8376762, 15489916, 1453454, 10729169, 3489470, 7541827, 2543930, 11118314, 1978941, 11827988, 1869305	MHC class II receptor activity
ATP5G1	<=0.00	15906478, 1827992, 11076863, 8485160, 14702039, 9461222, 1829867, 2883974, 12477932, 8328972, 15489336, 2868890, 11230166, 14749816, 7698763, 9834036, 16381901, 8889548, 15489334	energy coupled proton transport, down electrochemical gradient
ATP5G2	>0.00	1827992, 16303743, 8485160, 9461222, 1829867, 2883974, 12477932, 8328972, 2868890, 2549952, 7706317, 7698763, 11329013, 14749816, 9834036, 12658628, 15489334	energy coupled proton transport, down electrochemical gradient
PRPS1	>0.00	17932292, 16367971, 9373149, 2191628, 17460045, 2155397, 11898433, 11538123, 9030762, 8702702, 15943588, 2040309, 15317583, 14674763, 17701900, 8253776, 16306143, 18409517, 11563970, 12481087, 12519777, 10082968, 15955956, 9862501, 8882866, 17085511, 12823545, 15701788, 9692918, 11784321, 8125298, 1962753, 15489334, 1650777, 19161981, 9952445, 17701896, 10398712, 16682768, 12477932, 10998255, 16236267, 11405094, 11289304, 16939420, 15998802, 15123830, 7593598, 10669795, 10066814, 16189514, 9366267, 7632918, 10436225, 4328836, 1314091, 11582571, 7744070, 12847698, 15785851	metal ion binding
PSMF1	>0.00	16146763, 14564014, 12374861, 11780052, 12719574, 16344560, 15029244, 12167863, 9079628, 9846577, 11285280, 10363639, 14528301, 14528300, 9110174, 16713569, 12809610, 16035254, 12791267, 12920286, 15642098, 10764772, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 11282978, 12477932, 9811770, 14614829, 12859895, 12840737, 8619474, 15183343, 12419264, 16046164, 18495667, 16305752, 14550573, 16189514, 15139295, 15638724, 12808466, 12808465, 15489334, 12830140	cellular process
TATDN2	>0.00	15342556, 18954468, 15302935, 9039502, 12477932	nucleic acid binding
FNTA	>0.00	17353931, 8276393, 11598000, 2217184, 11313965, 8419339, 8175923, 8106351, 14702039, 8830800, 11713328, 15451670, 8599089, 11687658, 8494894, 15489334, 7713879, 12477932, 12036349, 10676968, 10852915, 12374986, 8889548, 12825937, 1918005, 15170324, 8910345, 10747914, 1400319, 10920240, 8530343, 17192483	protein farnesyltransferase activity
FNTB	<=0.00	17353931, 8276393, 11598000, 2217184, 9657673, 8175923, 14702039, 8830800, 8599089, 16305752, 11687658, 8494894, 15489334, 11282978, 12477932, 12036349, 10676968, 9373149, 12825937, 15592455, 11751396, 12374986, 15170324, 8910345, 8125298, 10747914, 10852915, 16344560	protein farnesyltransferase activity
LOC441455	<=0.00	12477932	nucleic acid binding
CPA2	<=0.00	15064350, 17932292, 8879236, 8641269, 2191628, 15292183, 9450539, 15964273, 11743734, 16720695, 11805837, 2583083, 16367971, 16429126, 16507594, 11025545, 11805826, 15489334, 8806703, 12872131, 17200106, 9384570, 16143836, 16143837, 10213627, 16554755, 10071206, 18845848, 18586732, 16622701, 6358221, 15710683, 15710684, 15701785, 8626695, 17196978, 8282737, 18212056, 12000678, 8062839, 18458063, 12535521, 17535914, 7896805, 9482869, 15203218, 10669795, 8616232, 11094061, 15123810, 1741302, 15998802, 17334359, 10742178, 17040130, 11675593, 16452484, 16678168, 12538893, 7632918, 16170454, 12948494, 12477932, 2040309, 15450959, 10860668, 15849308, 8849441, 15738400, 2920728, 206535, 11782532	cellular biopolymer metabolic process
IFIT5	>0.00	15489334, 12477932, 9398535	nucleic acid binding
TAF5	>0.00	7813418, 9311784, 17397863, 15647753, 17200106, 2449431, 9844639, 12446794, 8121496, 9153318, 8680883, 18029348, 14660704, 8946909, 9858534, 10788514, 18613951, 10384273, 11805837, 15123810, 10839822, 11585915, 9885573, 11406595, 17314980, 14718168, 17686179, 15448131, 10384286, 15875012, 11805826, 1939271, 12215531, 16554755, 9488465, 12524336, 7836461, 12093743, 15657441, 15657442, 15132995, 9373149, 16888622, 8662725, 12601814, 11940675, 12186975, 9054383, 8758937, 9405375, 14660634, 8764062, 17074814, 15637059, 10523658, 8340360, 9742103, 12138208, 9083082, 15260971, 12052880, 8125298, 11564863, 11485988, 12200147, 18719252, 10880468, 8942982, 9045704, 9844640, 9118213, 16429126, 15282323, 14580349, 7667272, 11533254, 10549298, 8764009, 10751405, 8083216, 12872131, 17227857, 12101232, 8849451, 18488019, 9288741, 12582245, 11089979, 12660246, 15060133, 7933101, 15489334, 7680771, 11158301, 9674426, 9671455, 12840001, 7835343, 8849441, 10373431, 12477932, 9488488, 17334359, 8884287	transcription initiation factor activity
LRRC14	<=0.00	14667821, 7584026, 12477932, 15489334	nucleic acid binding
GCSH	>0.00	12402263, 17932292, 8349573, 10806107, 15068267, 1993703, 16450403, 11983892, 10368186, 1671321, 8590479, 15995001, 15137946, 16143839, 16452484, 2211640, 2553401, 16143837, 15659633, 11497999, 16284312, 15278455, 8374951, 15964273, 11805055, 17085511, 2025283, 3348809, 15190002, 11784321, 15710684, 8914534, 15489334, 3080335, 11450847, 12477932, 3614194, 15738400, 3522581, 12215522, 6790577, 11641281, 16169070, 8543042, 15998802, 15235119, 7480339, 11445540, 8647391, 15514055, 16189514, 2904436, 15450959, 6111451, 15635096, 11752390, 2779571, 15785851	structural molecule activity
SNRPF	>0.00	17353931, 11756452, 15939020, 10556282, 15146077, 10531003, 2974540, 11748230, 15489334, 11991638, 11714716, 12477932, 9417867, 2522439, 10725331, 9020971, 8889548, 15130578, 12234937, 1688550, 15231747, 16169070, 11226169, 10601333, 7744013, 10025403	spliceosomal snRNP assembly
SNRPG	>0.00	17353931, 15939020, 10556282, 14603251, 15146077, 15130578, 10531003, 11748230, 15489334, 11991638, 1387914, 11714716, 12477932, 9417867, 10725331, 9020971, 16169070, 16189514, 12234937, 12165861, 11226169, 10601333, 7744013	spliceosomal snRNP assembly
POLD1	>0.00	15064350, 17932292, 8879236, 9111189, 2191628, 15964273, 17353931, 12403614, 16720695, 2583083, 16367971, 11923315, 10751307, 16507594, 11025545, 10852724, 1730053, 9563011, 18270339, 14767555, 16143836, 16143837, 10213627, 16934752, 18701435, 9286699, 2436659, 12806015, 10071206, 1542570, 16762037, 16622701, 18676680, 1427831, 15710683, 15710684, 15701785, 15489334, 8282737, 10608806, 9620226, 12000678, 8062839, 1722322, 12535521, 17535914, 3146346, 9482869, 12220650, 10669795, 9545286, 8616232, 11094061, 17203305, 3335506, 19237606, 1741302, 16169070, 15113441, 15998802, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 1721537, 12393188, 12477932, 15670210, 2040309, 15450959, 15849308, 15738400, 10559261, 12171929, 11473323, 11782532	cellular biopolymer metabolic process
PSMA4	>0.00	7821789, 16964243, 9800328, 14564014, 14743216, 12719574, 15029244, 12167863, 9079628, 2025653, 9846577, 11285280, 14528301, 14528300, 15987638, 15146197, 12809610, 15225636, 12791267, 18385738, 12920286, 12859895, 8687380, 12750511, 14557625, 12914693, 12970355, 15679890, 15782160, 14527406, 10893419, 12477932, 9811770, 11205743, 8811196, 12840737, 10375634, 12419264, 8619999, 14681463, 14550573, 7811265, 14702039, 8175701, 14614829, 12808466, 12808465, 18780872, 15489334, 18385676, 12830140	cellular process
BTN2A2	<=0.00	14702039, 10354554, 12477932, 14574404, 11170752, 9149941, 12124930, 15489334	nucleic acid binding
BTN2A1	<=0.00	14702039, 17785817, 12477932, 14574404, 11170752, 9149941, 9382921	nucleic acid binding
PLS1	<=0.00	2111166, 17932292, 8349573, 10806107, 7655078, 15068267, 12119179, 8139549, 11983892, 10368186, 15342556, 8336074, 8590479, 15995001, 15137946, 16143839, 16452484, 16143837, 15659633, 11497999, 16284312, 15278455, 8374951, 15964273, 11805055, 17085511, 8428952, 15190002, 11784321, 15710684, 8914534, 3211125, 12477932, 3614194, 15738400, 12215522, 11641281, 8543042, 15998802, 15235119, 18923393, 7480339, 11445540, 8647391, 15514055, 2391360, 2904436, 15450959, 15635096, 11752390, 17334359, 2779571, 15785851, 16344560	structural molecule activity
